ba_ref,prop_ba_rates,occupant_name,postcode,occupation_state,occupation_state_date,occupation_state_reliefs,la_code,rates_code,confidence,slug
51200083944843,5400.0,20676 BARNSLEY MBC,S701YA,True,2000-04-01 01:00:00+01:00,,E08000016,51200083944843,100.0,LxkdSB3NZIFTcrGbgZvrgqT9
51313067949019,146.0,20676 BARNSLEY MBC,S702NN,True,2000-04-01 01:00:00+01:00,,E08000016,51313067949019,100.0,V9ZvVJGK2tMRdQvnf7DxCjHB
50303118917691,7100.0,20677 BARNSLEY MBC,S630JT,True,2003-04-01 01:00:00+01:00,,E08000016,50303118917691,100.0,j9LgCJ3xZskkBLz2CjVKB2xF
51010206934009,3350.0,20682 BARNSLEY MBC,S713DP,True,2003-04-01 01:00:00+01:00,,E08000016,51010206934009,100.0,FhIIv5ZV2Lt7HS7CSGshSQdB
51111146935251,1575.0,20682 BARNSLEY MBC,S712PU,True,2003-04-01 01:00:00+01:00,,E08000016,51111146935251,100.0,TQsHILnfXB7JNdF7SZpB9hGB
51010290931997,135600.0,20683 BARNSLEY MBC,S715EH,True,2000-04-01 01:00:00+01:00,,E08000016,51010290931997,100.0,CDIFRIjqpXmZDTfspcBfDcZ2
50707025872162,3500.0,20684 BARNSLEY MBC,S738HZ,True,2000-04-01 01:00:00+01:00,,E08000016,50707025872162,100.0,7MgTK3bKtJ2I3MFTsJZq7T32
51010164876017,3350.0,20684 BARNSLEY MBC,S703DU,True,2000-04-01 01:00:00+01:00,,E08000016,51010164876017,100.0,xfrIG3cmvGhhhPHDvHkkFVZ7
51818010881549,1975.0,20684 BARNSLEY MBC,S727NT,True,2000-04-01 01:00:00+01:00,,E08000016,51818010881549,100.0,ImXdsgKQrBTXNQcpDSKTqnsF
50101087912629,1175.0,20684 BARNSLEY MBC,S739BE,True,2000-04-01 01:00:00+01:00,,E08000016,50101087912629,100.0,5vGKLvBM9TKqsbhJVMQmd5cC
50303200918730,3650.0,20684 BARNSLEY MBC,S630RW,True,2000-04-01 01:00:00+01:00,,E08000016,50303200918730,100.0,zSfFdqvKqBD2IN9xdMVLqkx9
50404026919346,1325.0,20684 BARNSLEY MBC,S753RS,True,2000-04-01 01:00:00+01:00,,E08000016,50404026919346,100.0,HjFVj9SBJID2jCf95Fsp2RSD
50505026920241,450.0,20684 BARNSLEY MBC,S748HS,True,2000-04-01 01:00:00+01:00,,E08000016,50505026920241,100.0,dhJtQZ2Sr99BhFBzpXSzZsXD
50505081921493,4850.0,20684 BARNSLEY MBC,S749HU,True,2000-04-01 01:00:00+01:00,,E08000016,50505081921493,100.0,RcFhmSFcFqmgnbnBnBXn79b3
50606074923693,1100.0,20684 BARNSLEY MBC,S714RB,True,2000-04-01 01:00:00+01:00,,E08000016,50606074923693,100.0,PJmnFNtBQVJfLmzZmsVPXXzD
50707204924469,1200.0,20684 BARNSLEY MBC,S730QN,True,2000-04-01 01:00:00+01:00,,E08000016,50707204924469,100.0,dqxcx7cPZDXmNqKTLDnCd7RC
50909128930892,2800.0,20684 BARNSLEY MBC,S369EF,True,2000-04-01 01:00:00+01:00,,E08000016,50909128930892,100.0,xtRz7PTPcbrP9dT55nvVzXTB
51010231934054,3750.0,20684 BARNSLEY MBC,S713EW,True,2000-04-01 01:00:00+01:00,,E08000016,51010231934054,100.0,m2DPQXTSxrQpnGnvBrPzd2xC
51010111934996,2900.0,20684 BARNSLEY MBC,S712EU,True,2000-04-01 01:00:00+01:00,,E08000016,51010111934996,100.0,fCHcGtTZFjmX2tkILdHIKrS3
51111067937393,8700.0,20684 BARNSLEY MBC,S701XL,True,2000-04-01 01:00:00+01:00,,E08000016,51111067937393,100.0,BbjmzPxZpNIxzFBM7kpKvss3
51818016951100,580.0,20684 BARNSLEY MBC,S729JR,True,2000-04-01 01:00:00+01:00,,E08000016,51818016951100,100.0,KSCrIBDmtGP9Ghdph9qXBr99
