la_code,ba_ref,prop_ba_rates,occupant_name,postcode,occupation_state,occupation_state_date,rates_code,confidence,slug
E08000016,50909051929602,1550.0,,S366BN,False,,50909051929602,100.0,5TgKBMCTRHr5cFfdbVHrDFhD
E08000016,51111134036288,1475.0,,S704DF,False,,51111134036288,100.0,djgQvMxJMSCFSIXHdQNpKIbB
E08000016,51212039002175,12250.0,THE SEC ATS YORKSHIRE LTD,S752SY,False,,51212039002175,100.0,FN2XRvsDr3qfGXLtpZ2TV7C7
E08000016,50202206125548,760.0,,S756AT,False,,50202206125548,100.0,cTLkGs5gDkjV3zFfkTQVzMxB
E08000016,50202221095416,2025.0,THE SEC MAPLE ESTATES,S756DT,False,,50202221095416,100.0,QP2L9SzxQkstTnzsxRhzNzbC
E08000016,50303259919006,1475.0,,S630JP,False,,50303259919006,100.0,hN5sbS3zMNvqxsnDnTr9jzkB
E08000016,50303355111762,46000.0,THE SEC. THE SEVENTH DOWNING,S630JF,False,,50303355111762,100.0,FGDpVXTXBcZ5gVqmBXG9S2S2
E08000016,51111001002241,1575.0,,S701NH,False,,51111001002241,100.0,QzVH7xSSP7JthPnTrVf5hdp3
E08000016,50707174080304,1075.0,,S730SG,False,,50707174080304,100.0,dLPtBL2VXLMvBI3T7BjL27S2
E08000016,51818006950878,1500.0,,S727EQ,False,,51818006950878,100.0,hZTFfHPnqxHXZn2KcTgzLKR7
E08000016,53434004002182,2700.0,,S728SY,False,,53434004002182,100.0,2nHHGLCKvjsFPrxLHmRP5S23
E08000016,50202016002414,4850.0,THE SEC SHAPEPART LTD,S755NN,False,,50202016002414,100.0,szmqTsLNBfzSzq2LhjsV3GbD
E08000016,50101008002369,10000.0,THE SEC CO-OPERATIVE GROUP LTD,S739DQ,False,,50101008002369,100.0,nzcsZrRMRfIM2SLjTPGQh7N9
E08000016,50707174001037,1725.0,,S730SG,False,,50707174001037,100.0,zMNdmBQxDX35TqHk7v52K5t2
E08000016,50707174123456,1075.0,,S730SG,False,,50707174123456,100.0,JFtkcX9SNtPKxGvQrS7mBS7G
E08000016,51818006950856,1850.0,,S727EQ,False,,51818006950856,100.0,fgkXZTb5qLLQSMCRpCBkdsdC
E08000016,51111105038615,1225.0,,S701NL,False,,51111105038615,100.0,IXTMZLn9fdcMbqmhJjkfPcBD
E08000016,51313067052251,1500.0,,S706BN,False,,51313067052251,100.0,PhMzVIIHpPFMVjQxbm7hZfn5
E08000016,50303010002515,15250.0,THE SEC HUTCHISON 3G UK LTD,S639HT,False,,50303010002515,100.0,nh3VvNx97qIrhFBVd9PkrKZ2
E08000016,51313067002371,980.0,THE SEC JOHN CRAMPTON,S702AB,False,,51313067002371,100.0,sSxKvrMnQxmn2ZdbRdTJXMt2
E08000016,53434004954392,9700.0,THE SEC. BE FITNESS LTD,S728UH,False,,53434004954392,100.0,x7LDxK9CjjCD7Kn9bqPccscD
E08000016,50505167922327,4600.0,,S749AG,False,,50505167922327,100.0,fQv7NLBptIpk39JmsbSqRNz7
E08000016,51818006002558,1175.0,,S727AR,False,,51818006002558,100.0,fhcVGzDXCpjcQNLPHvtMBfI7
E08000016,51212183942916,5900.0,THE SEC. INTEGRATED DENTAL,S702PT,False,,51212183942916,100.0,kpXsmsCbMsVqMjfLXInvT5m5
E08000016,51010065934805,14000.0,THE SEC. PRIORY CAMPUS LTD,S712HQ,False,,51010065934805,100.0,NLIC77ZQHnTCknHb3p2gJtZ7
E08000016,53333031002574,2500.0,THE SEC ORANGE PERSONAL,S350DN,False,,,,
E08000016,51010290932081,51500.0,THE SEC. BRISTOL STREET,S703RD,False,,51010290932081,100.0,dK9bCmMcm3mnsSPRFL2C7FjB
E08000016,50202100000837,12000.0,THE SEC. WEST REGISTER,S755NA,False,,50202100000837,100.0,tqmJG5nJtg7GxqV79BT7HXfB
E08000016,50202274914896,9300.0,,S751LY,False,,50202274914896,100.0,5prfPrT3fSGg3BxcRqksd5M9
E08000016,51212016461234,2150.0,,S711LF,False,,51212016461234,100.0,ZZtRFhRCZjqLF9t7tGhXFPX5
E08000016,51313067052240,1450.0,,S706BN,False,,51313067052240,100.0,3NLTFX23JGP3sb7nRhVBsqX2
E08000016,50700021002621,1450.0,,S730BS,False,,50700021002621,100.0,kvj9LDIPGgFdXC5VkHjX5X99
E08000016,51111023002712,620.0,,S702DQ,False,,51111023002712,100.0,IXDDBMmVgFI2PMSC9S5jrnM9
E08000016,50909118930289,2900.0,THE SEC. RELIANT BUILDING,S366DT,False,,50909118930289,100.0,vIsctvQtjHxsCVBIt2DMF2P2
E08000016,51300095949633,4350.0,THE SEC. KINGSTON II LTD,S702QN,False,,51300095949633,100.0,DnIfgDSPJzVv3qtCLCCSfBKB
